id,title,description,link,image_link,price,availability,condition,brand,google_product_category,product_type
himalayan-dzong-river-print,The dzong above the river,A white fortress monastery on a green hillside above a clear flowing river under a moody sky,https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/himalayan-dzong-river-print.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Landscape
spire-of-the-lavender-bloom,Spire of the lavender bloom,"A vibrant purple lupine flower stalk in full bloom, standing vertically against a blurred background of green grass.",https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/spire-of-the-lavender-bloom.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Botanical
tigers-nest-monastery-print,The monastery on the cliff,Tiger's Nest monastery clinging to a sheer grey cliff face wrapped in mist and pine,https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/tigers-nest-monastery-print.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Landscape
depths-of-the-queens-stepwell,Depths of the Queen's Stepwell,"Looking down into the multi-tiered subterranean structure of Rani ki Vav stepwell, showing intricately carved stone pillars and panels.",https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/depths-of-the-queens-stepwell.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Architecture
monsoon-valley-mist-landscape,Monsoon light on the valley,Low cloud drifting over a green valley of forest and scattered rooftops,https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/monsoon-valley-mist-landscape.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Landscape
prayer-flags-bridge-bhutan,Prayer flags on the bridge,People crossing a traditional covered bridge strung with prayer flags beneath towering white clouds,https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/prayer-flags-bridge-bhutan.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Street
golden-temple-roof-blue-sky,Temple against the sky,"A gilded, brightly painted temple roof rising into a vivid blue sky above green mountains",https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/golden-temple-roof-blue-sky.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Landscape
bells-of-the-foxglove,Bells of the foxglove,"A close-up shot of a foxglove plant with pink bell-shaped flowers hanging from a single stalk, set against green grass.",https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/bells-of-the-foxglove.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Botanical
purple-verbena-field-botanical,A field of verbena,A dense field of purple verbena flowers on tall slender stems,https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/purple-verbena-field-botanical.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Landscape
pillars-of-the-subterranean-court,Pillars of the subterranean court,A detailed view of the carved stone pillars and tiers of the ancient Rani ki Vav stepwell in Patan.,https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/pillars-of-the-subterranean-court.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Architecture
misty-monastery-road-print,The road down from the monastery,A misty mountain road and forested slopes seen from beneath a carved monastery eave,https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/misty-monastery-road-print.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Landscape
hydrangea-in-pastel-blue,Hydrangea in pastel blue,"A lush, spherical hydrangea flower cluster with soft blue and pale yellow petals, framed by green leaves.",https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/hydrangea-in-pastel-blue.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Botanical
glassy-reflections-on-a-quiet-reservoir,Glassy reflections on a quiet reservoir,"A peaceful lake with perfectly still water reflecting forested hills on a hazy morning, with a single dead tree branch emerging from the surface.",https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/glassy-reflections-on-a-quiet-reservoir.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Landscape
himalayan-town-street-photo,The road into the hills,A hillside town street of shopfronts and parked cars running down toward forested mountains,https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/himalayan-town-street-photo.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Street
whispers-of-the-dusk-lake,Whispers of the dusk lake,"A calm body of water reflecting the soft pink and orange hues of a twilight sky, with dark hills silhouetted in the background.",https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/whispers-of-the-dusk-lake.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Landscape
shrine-of-the-sun-temple-pool,Shrine of the sun temple pool,"A beautifully carved stone shrine stands in the foreground, overlooking the stepped water tank (Surya Kund) at the Modhera Sun Temple.",https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/shrine-of-the-sun-temple-pool.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Architecture
colors-of-the-fading-light,Colors of the fading light,"A calm river surface reflecting the pastel hues of a sunset sky, with the dark silhouettes of trees and rocks lining the bank.",https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/colors-of-the-fading-light.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Landscape
blush-of-the-summer-hydrangea,Blush of the summer hydrangea,A cluster of soft pink and white hydrangea flowers nestled among large green leaves.,https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/blush-of-the-summer-hydrangea.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Botanical
prayer-flags-over-the-mountain-gorge,Prayer flags over the mountain gorge,"Colorful Tibetan prayer flags strung across a deep, steep valley with a rocky riverbed at the bottom and lush green forested mountains under a cloudy sky.",https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/prayer-flags-over-the-mountain-gorge.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Landscape
the-fortress-by-the-river,The fortress by the river,"The historic Punakha Dzong fortress in Bhutan with white walls and red trim, sits by a river with blooming purple jacaranda trees along the bank.",https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/the-fortress-by-the-river.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Architecture
misty-peak-and-sacred-flags,Misty peak and sacred flags,"A rocky cliffside on the left and a slender tree on the right frame a view of a misty mountain in the background, with a string of prayer flags spanning between them.",https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/misty-peak-and-sacred-flags.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Landscape
blue-hour-dzong-golden-walls,"Blue hour, golden walls",A hilltop dzong lit warm gold against a deep blue dusk sky and a dark mountain,https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/blue-hour-dzong-golden-walls.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Street
